Config_Name,Bank_Choice,w_ano,w_good,w_neg,knn_k,hard_ano_th,hard_neg_th,supp_factor,mode,tau,morph_open_k,bg_floor_pct,R-FP-RegionCount,R-MissRate,R-PixelCoverage,P-AP,P-AUPRO,P-AUROC,P-F1,I-AUROC,I-AP,I-F1,Elapsed_s
"Grid-Weight [wa=1.2, wg=1.2, wn=0.8]",combined,1.2,1.2,0.8,3,0.15,,1.0,weighted_margin,0.1,0,0.0,22352.0,0.002107728337236534,0.9842268495491628,0.4833296537399292,0.6996583220855684,0.9845389127731323,0.52,0.9167915690866509,0.9892517754899597,0.9695023577264286,2.9534
"Grid-Weight [wa=1.5, wg=1.5, wn=1.0]",combined,1.5,1.5,1.0,3,0.15,,1.0,weighted_margin,0.1,0,0.0,22352.0,0.002107728337236534,0.9842268495491628,0.4833296537399292,0.6996583220855684,0.9845389127731323,0.52,0.9167915690866509,0.9892517754899597,0.9695023577264286,2.8903
"Grid-Weight [wa=0.8, wg=1.5, wn=0.8]",combined,0.8,1.5,0.8,3,0.15,,1.0,weighted_margin,0.1,0,0.0,21494.0,0.0029274004683840747,0.9831545023173468,0.4828520119190216,0.6958154757811945,0.9844749569892883,0.52,0.9167915690866509,0.9892457667110517,0.9695023577264286,2.9445
"Softmax-Fusion [tau=0.2, wn=2.0]",combined,1.2,1.0,2.0,3,0.15,,1.2,softmax,0.2,0,0.0,20952.0,0.0029274004683840747,0.9827357464935906,0.48228129744529724,0.683286656810127,0.984373927116394,0.52,0.9167681498829039,0.9892385345493497,0.9689242528277355,2.9973
"Softmax-Fusion [tau=0.2, wn=1.5]",combined,1.2,1.0,1.5,3,0.15,,1.2,softmax,0.2,0,0.0,21027.0,0.0029274004683840747,0.9830071811063315,0.4825339913368225,0.6873799279269038,0.9844386577606201,0.52,0.9167213114754099,0.9892353347481604,0.9681020234019901,3.0252
"Grid-Weight [wa=1.2, wg=1.0, wn=0.8]",combined,1.2,1.0,0.8,3,0.15,,1.0,weighted_margin,0.1,0,0.0,22585.0,0.002107728337236534,0.9842441971074941,0.48336082696914673,0.6998044619465087,0.9845384359359741,0.52,0.9167213114754098,0.9892505200653533,0.9686746488153443,2.8845
"Grid-Weight [wa=1.0, wg=1.2, wn=0.8]",combined,1.0,1.2,0.8,3,0.15,,1.0,weighted_margin,0.1,0,0.0,22010.0,0.002107728337236534,0.9837996143022568,0.483176052570343,0.6991052585032387,0.9845203161239624,0.52,0.9166744730679157,0.9892362294348274,0.9695023577264286,3.0994
"Softmax-Fusion [tau=0.2, wn=1.0]",combined,1.2,1.0,1.0,3,0.15,,1.2,softmax,0.2,0,0.0,21359.0,0.0029274004683840747,0.9833742259992266,0.4830324649810791,0.6946749275437519,0.984535813331604,0.52,0.9166510538641687,0.98923185131417,0.9679486679738891,3.0645
"Grid-Weight [wa=1.2, wg=1.5, wn=1.0]",combined,1.2,1.5,1.0,3,0.15,,1.0,weighted_margin,0.1,0,0.0,21922.0,0.002107728337236534,0.9837795893438138,0.4831410050392151,0.6989574877017646,0.9845156669616699,0.52,0.9166276346604216,0.9892312111383395,0.9695023577264286,2.8974
"Grid-Weight [wa=1.5, wg=1.2, wn=1.0]",combined,1.5,1.2,1.0,3,0.15,,1.0,weighted_margin,0.1,0,0.0,22620.0,0.002107728337236534,0.9842505780672293,0.48336246609687805,0.6998123827340456,0.9845380187034607,0.52,0.9166276346604215,0.9892415794246423,0.9687248898790964,2.8814
"Grid-Weight [wa=0.8, wg=1.2, wn=0.8]",combined,0.8,1.2,0.8,3,0.15,,1.0,weighted_margin,0.1,0,0.0,21684.0,0.002107728337236534,0.9836910153718773,0.4829827845096588,0.6979067276459231,0.9844927787780762,0.52,0.9166042154566745,0.989228059409173,0.9695023577264286,2.957
