Suite,Config,I-AUROC,I-AP,I-F1,P-AUROC,P-AP,P-F1,P-AUPRO,R-MissRate,R-FP-RegionCount,R-PixelCoverage,R-FPR,Elapsed
5_KNN_Aggregation,Whitened_Angular_KNN_k1,0.9178688524590164,0.9893745479316158,0.9695023577264286,0.9845856436465582,0.48359058236189306,0.5191439793607086,0.9256199754274488,0.002107728337236534,22356.0,0.983821350373172,0.96309039088139,32.89358353614807
5_KNN_Aggregation,Angular_KNN_k3,0.9172131147540984,0.9892998424799009,0.9695023577264286,0.9845530254541855,0.48341057789197106,0.5190827581501174,0.9254876098020288,0.002107728337236534,22394.0,0.9842268495491628,0.9631771977745649,32.93637704849243
5_KNN_Aggregation,Mahalanobis_KNN_k3,0.9171896955503512,0.9892966591143246,0.9695023577264286,0.9845491894831242,0.483393805080047,0.5190768283024244,0.9254607746866924,0.002107728337236534,22408.0,0.9842268495491628,0.9632095600409917,32.9624502658844
5_KNN_Aggregation,Whitened_Angular_KNN_k3,0.9173302107728337,0.989311602837667,0.9687248898790964,0.9845597562368469,0.4834430020027664,0.5190946177030401,0.9255184322164522,0.002107728337236534,22384.0,0.9842268495491628,0.9631483323999555,32.937769412994385
5_KNN_Aggregation,Angular_KNN_k5,0.9171194379391101,0.9892890840098328,0.9687248898790964,0.9845370198992269,0.4833487872920115,0.5190649684645726,0.9253835697986816,0.002107728337236534,22418.0,0.9842268495491628,0.9632458121846086,32.86061120033264
5_KNN_Aggregation,Mahalanobis_KNN_k5,0.9170257611241218,0.9892784139174731,0.9687248898790964,0.9845336261418509,0.4833341724502885,0.5190620034754289,0.9253606443318156,0.002107728337236534,22431.0,0.9842268495491628,0.9632698820468071,33.1899733543396
5_KNN_Aggregation,Whitened_Angular_KNN_k5,0.9171662763466042,0.9892924184595172,0.9687248898790964,0.9845439822292485,0.48338286429997085,0.5190738633607699,0.9254267968778751,0.002107728337236534,22404.0,0.9842268495491628,0.9631856615783382,32.992231130599976
6_Decision_Synergy,Angular_Hard_0.12,0.921967213114754,0.9898498385089757,0.9711537961790172,0.984699783509892,0.4843165786347124,0.5194685658607041,0.926747241556184,0.002107728337236534,22394.0,0.9842466429618062,0.9631771977745649,32.883838415145874
6_Decision_Synergy,Angular_Hard_0.12_AsymTanh,0.9171194379391101,0.9892992792499722,0.9649122307385133,0.9847756887256065,0.4847895121706845,0.5197673202671116,0.9271377768237664,0.0029274004683840747,21548.0,0.9834486552785726,0.9606406545708145,32.96244668960571
6_Decision_Synergy,Angular_Hard_0.14,0.9227166276346604,0.9899534448961633,0.9696969197337286,0.9847375455534824,0.48469333148694305,0.5197380823095777,0.9275533155989819,0.002107728337236534,22396.0,0.9842466429618062,0.9631787017424822,32.59990191459656
6_Decision_Synergy,Angular_Hard_0.14_AsymTanh,0.9164637002341921,0.9892319199875939,0.9641433763337116,0.9847760234541558,0.484792628304229,0.5197701861057623,0.9272065209797591,0.0029274004683840747,21555.0,0.9834486552785726,0.9606566243088474,32.62400817871094
6_Decision_Synergy,Angular_Hard_0.16,0.923255269320843,0.990082399335168,0.9651898234783113,0.9846728185097046,0.4846343129335886,0.5197623413336575,0.9274321641932659,0.002107728337236534,22445.0,0.9842466429618062,0.9632786549378046,32.50482749938965
6_Decision_Synergy,Angular_Hard_0.16_AsymTanh,0.9177751756440281,0.9894326819582422,0.9649681029073214,0.9847194758235258,0.48470813832972254,0.5197701861057623,0.9269603010795139,0.0029274004683840747,21704.0,0.9834486552785726,0.9611872040410584,32.490875482559204
6_Decision_Synergy,Angular_Hard_0.18,0.9231615925058547,0.9900975622708148,0.9646869484166372,0.9846025673766807,0.4846058875035703,0.5197729894014356,0.9279606578538734,0.002107728337236534,22566.0,0.9842683274097201,0.9635954296853337,32.61713171005249
6_Decision_Synergy,Angular_Hard_0.18_AsymTanh,0.9228103044496487,0.9900584644572819,0.9654617974097217,0.9846170497793247,0.4846171602936261,0.5197729894014356,0.9278322319167391,0.002107728337236534,22166.0,0.9842683274097201,0.9626342317939571,32.56466603279114
6_Decision_Synergy,Whitened_Angular_Hard_0.14,0.9175644028103045,0.9893393505603605,0.9687248898790964,0.9845615151566957,0.48348413922859723,0.5191272304941773,0.9255622054752551,0.002107728337236534,22384.0,0.9842268495491628,0.9631483323999555,32.52635407447815
6_Decision_Synergy,Whitened_Angular_Hard_0.14_AsymTanh,0.916440281030445,0.9892155872039468,0.9659000293550013,0.9847846279370985,0.4848202762370651,0.5197732186070148,0.9270315966691263,0.0029274004683840747,21545.0,0.9834486552785726,0.9606109303955408,32.54016923904419
6_Decision_Synergy,Whitened_Angular_Hard_0.16,0.9177517564402811,0.9893616572137955,0.9687248898790964,0.9845754419591746,0.4835363045018167,0.5191301952221448,0.9256376500705772,0.002107728337236534,22384.0,0.9842268495491628,0.9631483323999555,32.46464228630066
