Config_Name,Category,Type,P-AP,P-AUPRO,P-AUROC,P-F1,R-MissRate,R-FP-RegionCount,R-PixelCoverage,R-FPR,I-AUROC,I-AP,I-F1,Elapsed_s
"40_Bilateral_Sharp (sc=10, ss=5, beta=2.0)",4_Bilateral_Sharpening,bilateral_sharp,0.4776832163333893,0.9339950505653082,0.9839693307876587,0.5151011347770691,0.001288056206088993,40663,0.9850184441049379,0.979003578072623,0.9185480093676816,0.9894676762575529,0.9695512320764531,3.06
"40_Bilateral_Sharp (sc=20, ss=5, beta=0.5)",4_Bilateral_Sharpening,bilateral_sharp,0.4810853600502014,0.937468724466107,0.9842520356178284,0.517370879650116,0.002107728337236534,28086,0.9840874279055194,0.9704669174042894,0.9164168618266979,0.9892124784451435,0.9695023577264286,3.02
"40_Bilateral_Sharp (sc=20, ss=5, beta=1.0)",4_Bilateral_Sharpening,bilateral_sharp,0.478587806224823,0.9381003053562147,0.9839519262313843,0.51545649766922,0.001288056206088993,33271,0.9842816308956385,0.9748416169932901,0.9176580796252929,0.9893688360449557,0.9695023577264286,3.02
"40_Bilateral_Sharp (sc=20, ss=5, beta=1.5)",4_Bilateral_Sharpening,bilateral_sharp,0.4755043387413025,0.9390792102694897,0.9835584759712219,0.5132034420967102,0.001288056206088993,38170,0.9842792413727444,0.9776533141055289,0.9188992974238877,0.989529897411094,0.9703762510677902,3.02
"40_Bilateral_Sharp (sc=20, ss=5, beta=2.0)",4_Bilateral_Sharpening,bilateral_sharp,0.4718414545059204,0.9352866324918155,0.9830716252326965,0.5104151368141174,0.001288056206088993,42640,0.9843678812564405,0.9804579293721846,0.9198594847775176,0.9896586590354162,0.9711999500288027,3.05
"50_MS_Bilateral_Pyramid (sc=[5,10,20], gains=1.0/1.0)",5_MS_Bilateral_Pyramid,multiscale_bilateral,0.4834606647491455,0.9387570543340692,0.9844790697097778,0.5193505883216858,0.002107728337236534,18941,0.9839835861258558,0.9570194251982522,0.9149648711943794,0.9890245935155162,0.9679486679738891,10.37
"50_MS_Bilateral_Pyramid (sc=[5,10,20], gains=1.5/1.2)",5_MS_Bilateral_Pyramid,multiscale_bilateral,0.4816820025444031,0.9373724676574524,0.9843969941139221,0.517581045627594,0.002107728337236534,23270,0.9843660250271187,0.9648311293574341,0.9163231850117095,0.9892020363345021,0.9695023577264286,10.35
"50_MS_Bilateral_Pyramid (sc=[5,10,20], gains=2.0/1.5)",5_MS_Bilateral_Pyramid,multiscale_bilateral,0.47864672541618347,0.9373526130703779,0.9841728210449219,0.5151401162147522,0.002107728337236534,27686,0.9848798780989049,0.9702913471434567,0.9179859484777517,0.9894021963792076,0.9695512320764531,10.23
"60_GF(r=2,eps=1e-04) -> Bilateral_Sharp(sc=5,beta=0.5)",6A_Cascaded_Hybrid,cascaded_gf_bilateral,0.4869157671928406,0.935191903712231,0.9851298332214355,0.5215158462524414,0.0029274004683840747,13460,0.9836628519244864,0.9403494764004406,0.9164637002341921,0.9892863778170177,0.967068223112533,3.16
"60_GF(r=2,eps=1e-04) -> Bilateral_Sharp(sc=5,beta=1.0)",6A_Cascaded_Hybrid,cascaded_gf_bilateral,0.48670879006385803,0.931624202195424,0.9851554036140442,0.5214056968688965,0.0029274004683840747,14813,0.9839162786663979,0.9458277437161553,0.9169320843091335,0.9893416964176261,0.9679486679738891,3.16
